what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1457651734458
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457651734524
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457651734579
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457651755718
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457651774084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457651803889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457651805707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457651806056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457651822097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457651822758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457651857730
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457651862376
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457651864018
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1457651864875
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457651864937
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457651864984
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457651880968
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457651880968
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.textEnd",1457651883295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457651884328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457651888724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457651889519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457651902921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457651904147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457651993158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457652003110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457652004303
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457652013767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457652018018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457652018510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457652018989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457652020681
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457652021901
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457652025342
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457652025342
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457652026392
